node_type,rate_function_curl,rate_function_eat_memory,rate_function_env,rate_function_figlet,rate_function_nmap,rate_function_shasum
2,0.0,0.0,170.0,0.0,0.0,30.0
2,0.0,0.0,170.0,0.0,0.0,30.0
2,0.0,0.0,170.0,0.0,0.0,30.0
2,0.0,20.0,170.0,0.0,0.0,30.0
2,0.0,20.0,170.0,0.0,0.0,30.0
2,0.0,20.0,170.0,0.0,0.0,30.0
2,0.0,0.0,180.0,0.0,0.0,30.0
2,0.0,0.0,180.0,0.0,0.0,30.0
2,0.0,0.0,180.0,0.0,0.0,30.0
2,0.0,20.0,180.0,0.0,0.0,30.0
2,0.0,20.0,180.0,0.0,0.0,30.0
2,0.0,20.0,180.0,0.0,0.0,30.0
2,0.0,10.0,200.0,0.0,0.0,30.0
2,0.0,10.0,200.0,0.0,0.0,30.0
2,0.0,10.0,200.0,0.0,0.0,30.0
2,0.0,0.0,0.0,0.0,0.0,40.0
2,0.0,0.0,0.0,0.0,0.0,40.0
2,0.0,0.0,0.0,0.0,0.0,40.0
2,0.0,10.0,0.0,0.0,0.0,40.0
2,0.0,10.0,0.0,0.0,0.0,40.0
2,0.0,10.0,0.0,0.0,0.0,40.0
2,0.0,20.0,0.0,0.0,0.0,40.0
2,0.0,20.0,0.0,0.0,0.0,40.0
2,0.0,20.0,0.0,0.0,0.0,40.0
2,0.0,30.0,0.0,0.0,0.0,40.0
2,0.0,30.0,0.0,0.0,0.0,40.0
2,0.0,30.0,0.0,0.0,0.0,40.0
2,0.0,0.0,10.0,0.0,0.0,40.0
2,0.0,0.0,10.0,0.0,0.0,40.0
2,0.0,0.0,10.0,0.0,0.0,40.0
2,0.0,10.0,10.0,0.0,0.0,40.0
2,0.0,10.0,10.0,0.0,0.0,40.0
2,0.0,10.0,10.0,0.0,0.0,40.0
2,0.0,20.0,10.0,0.0,0.0,40.0
2,0.0,20.0,10.0,0.0,0.0,40.0
2,0.0,20.0,10.0,0.0,0.0,40.0
2,0.0,30.0,10.0,0.0,0.0,40.0
2,0.0,30.0,10.0,0.0,0.0,40.0
2,0.0,30.0,10.0,0.0,0.0,40.0
2,0.0,10.0,20.0,0.0,0.0,40.0
2,0.0,10.0,20.0,0.0,0.0,40.0
2,0.0,10.0,20.0,0.0,0.0,40.0
2,0.0,20.0,20.0,0.0,0.0,40.0
2,0.0,20.0,20.0,0.0,0.0,40.0
2,0.0,20.0,20.0,0.0,0.0,40.0
2,0.0,10.0,30.0,0.0,0.0,40.0
2,0.0,10.0,30.0,0.0,0.0,40.0
2,0.0,10.0,30.0,0.0,0.0,40.0
2,0.0,20.0,30.0,0.0,0.0,40.0
2,0.0,20.0,30.0,0.0,0.0,40.0
2,0.0,20.0,30.0,0.0,0.0,40.0
2,0.0,30.0,30.0,0.0,0.0,40.0
2,0.0,30.0,30.0,0.0,0.0,40.0
2,0.0,30.0,30.0,0.0,0.0,40.0
2,0.0,0.0,40.0,0.0,0.0,40.0
2,0.0,0.0,40.0,0.0,0.0,40.0
2,0.0,0.0,40.0,0.0,0.0,40.0
2,0.0,10.0,40.0,0.0,0.0,40.0
2,0.0,10.0,40.0,0.0,0.0,40.0
2,0.0,10.0,40.0,0.0,0.0,40.0
2,0.0,20.0,40.0,0.0,0.0,40.0
2,0.0,20.0,40.0,0.0,0.0,40.0
2,0.0,20.0,40.0,0.0,0.0,40.0
2,0.0,30.0,40.0,0.0,0.0,40.0
2,0.0,30.0,40.0,0.0,0.0,40.0
2,0.0,30.0,40.0,0.0,0.0,40.0
2,0.0,0.0,50.0,0.0,0.0,40.0
2,0.0,0.0,50.0,0.0,0.0,40.0
2,0.0,0.0,50.0,0.0,0.0,40.0
2,0.0,10.0,50.0,0.0,0.0,40.0
2,0.0,10.0,50.0,0.0,0.0,40.0
2,0.0,10.0,50.0,0.0,0.0,40.0
2,0.0,20.0,50.0,0.0,0.0,40.0
2,0.0,20.0,50.0,0.0,0.0,40.0
2,0.0,20.0,50.0,0.0,0.0,40.0
2,0.0,30.0,50.0,0.0,0.0,40.0
2,0.0,30.0,50.0,0.0,0.0,40.0
2,0.0,30.0,50.0,0.0,0.0,40.0
2,0.0,0.0,60.0,0.0,0.0,40.0
2,0.0,0.0,60.0,0.0,0.0,40.0
2,0.0,0.0,60.0,0.0,0.0,40.0
2,0.0,10.0,60.0,0.0,0.0,40.0
2,0.0,10.0,60.0,0.0,0.0,40.0
2,0.0,10.0,60.0,0.0,0.0,40.0
2,0.0,20.0,60.0,0.0,0.0,40.0
2,0.0,20.0,60.0,0.0,0.0,40.0
2,0.0,20.0,60.0,0.0,0.0,40.0
2,0.0,30.0,60.0,0.0,0.0,40.0
2,0.0,30.0,60.0,0.0,0.0,40.0
2,0.0,30.0,60.0,0.0,0.0,40.0
2,0.0,10.0,70.0,0.0,0.0,40.0
2,0.0,10.0,70.0,0.0,0.0,40.0
2,0.0,10.0,70.0,0.0,0.0,40.0
2,0.0,20.0,70.0,0.0,0.0,40.0
2,0.0,20.0,70.0,0.0,0.0,40.0
2,0.0,20.0,70.0,0.0,0.0,40.0
2,0.0,0.0,80.0,0.0,0.0,40.0
2,0.0,0.0,80.0,0.0,0.0,40.0
2,0.0,0.0,80.0,0.0,0.0,40.0
2,0.0,10.0,80.0,0.0,0.0,40.0
2,0.0,10.0,80.0,0.0,0.0,40.0
2,0.0,10.0,80.0,0.0,0.0,40.0
2,0.0,20.0,80.0,0.0,0.0,40.0
2,0.0,20.0,80.0,0.0,0.0,40.0
2,0.0,20.0,80.0,0.0,0.0,40.0
2,0.0,0.0,90.0,0.0,0.0,40.0
2,0.0,0.0,90.0,0.0,0.0,40.0
2,0.0,0.0,90.0,0.0,0.0,40.0
2,0.0,10.0,90.0,0.0,0.0,40.0
2,0.0,10.0,90.0,0.0,0.0,40.0
2,0.0,10.0,90.0,0.0,0.0,40.0
2,0.0,20.0,90.0,0.0,0.0,40.0
2,0.0,20.0,90.0,0.0,0.0,40.0
2,0.0,20.0,90.0,0.0,0.0,40.0
2,0.0,0.0,100.0,0.0,0.0,40.0
2,0.0,0.0,100.0,0.0,0.0,40.0
2,0.0,0.0,100.0,0.0,0.0,40.0
2,0.0,10.0,100.0,0.0,0.0,40.0
2,0.0,10.0,100.0,0.0,0.0,40.0
2,0.0,10.0,100.0,0.0,0.0,40.0
2,0.0,20.0,100.0,0.0,0.0,40.0
2,0.0,20.0,100.0,0.0,0.0,40.0
2,0.0,20.0,100.0,0.0,0.0,40.0
2,0.0,10.0,110.0,0.0,0.0,40.0
2,0.0,10.0,110.0,0.0,0.0,40.0
2,0.0,10.0,110.0,0.0,0.0,40.0
2,0.0,20.0,110.0,0.0,0.0,40.0
2,0.0,20.0,110.0,0.0,0.0,40.0
2,0.0,20.0,110.0,0.0,0.0,40.0
2,0.0,0.0,120.0,0.0,0.0,40.0
2,0.0,0.0,120.0,0.0,0.0,40.0
2,0.0,0.0,120.0,0.0,0.0,40.0
2,0.0,10.0,120.0,0.0,0.0,40.0
2,0.0,10.0,120.0,0.0,0.0,40.0
2,0.0,10.0,120.0,0.0,0.0,40.0
2,0.0,20.0,120.0,0.0,0.0,40.0
2,0.0,20.0,120.0,0.0,0.0,40.0
2,0.0,20.0,120.0,0.0,0.0,40.0
2,0.0,0.0,130.0,0.0,0.0,40.0
2,0.0,0.0,130.0,0.0,0.0,40.0
2,0.0,0.0,130.0,0.0,0.0,40.0
2,0.0,10.0,130.0,0.0,0.0,40.0
2,0.0,10.0,130.0,0.0,0.0,40.0
2,0.0,10.0,130.0,0.0,0.0,40.0
2,0.0,20.0,130.0,0.0,0.0,40.0
2,0.0,20.0,130.0,0.0,0.0,40.0
2,0.0,20.0,130.0,0.0,0.0,40.0
2,0.0,0.0,140.0,0.0,0.0,40.0
2,0.0,0.0,140.0,0.0,0.0,40.0
2,0.0,0.0,140.0,0.0,0.0,40.0
2,0.0,20.0,140.0,0.0,0.0,40.0
2,0.0,20.0,140.0,0.0,0.0,40.0
2,0.0,20.0,140.0,0.0,0.0,40.0
2,0.0,0.0,0.0,10.0,10.0,40.0
2,0.0,0.0,0.0,10.0,10.0,40.0
2,0.0,0.0,0.0,10.0,10.0,40.0
2,0.0,0.0,0.0,10.0,20.0,40.0
2,0.0,0.0,0.0,10.0,20.0,40.0
2,0.0,0.0,0.0,10.0,20.0,40.0
2,0.0,0.0,0.0,10.0,30.0,40.0
2,0.0,0.0,0.0,10.0,30.0,40.0
2,0.0,0.0,0.0,10.0,30.0,40.0
2,0.0,0.0,0.0,10.0,10.0,50.0
2,0.0,0.0,0.0,10.0,10.0,50.0
2,0.0,0.0,0.0,10.0,10.0,50.0
2,0.0,0.0,0.0,10.0,20.0,50.0
2,0.0,0.0,0.0,10.0,20.0,50.0
2,0.0,0.0,0.0,10.0,20.0,50.0
2,0.0,0.0,0.0,10.0,30.0,50.0
2,0.0,0.0,0.0,10.0,30.0,50.0
2,0.0,0.0,0.0,10.0,30.0,50.0
2,0.0,0.0,0.0,10.0,10.0,60.0
2,0.0,0.0,0.0,10.0,10.0,60.0
2,0.0,0.0,0.0,10.0,10.0,60.0
2,0.0,0.0,0.0,10.0,20.0,60.0
2,0.0,0.0,0.0,10.0,20.0,60.0
2,0.0,0.0,0.0,10.0,20.0,60.0
2,0.0,0.0,0.0,10.0,30.0,60.0
2,0.0,0.0,0.0,10.0,30.0,60.0
2,0.0,0.0,0.0,10.0,30.0,60.0
2,0.0,0.0,0.0,10.0,0.0,70.0
2,0.0,0.0,0.0,10.0,0.0,70.0
2,0.0,0.0,0.0,10.0,0.0,70.0
2,0.0,0.0,0.0,10.0,0.0,80.0
2,0.0,0.0,0.0,10.0,0.0,80.0
2,0.0,0.0,0.0,10.0,0.0,80.0
2,0.0,0.0,0.0,10.0,20.0,80.0
2,0.0,0.0,0.0,10.0,20.0,80.0
2,0.0,0.0,0.0,10.0,20.0,80.0
2,0.0,0.0,0.0,10.0,30.0,80.0
2,0.0,0.0,0.0,10.0,30.0,80.0
